White,Black,WhiteElo,BlackElo,Result,TimeControl,ECO,PlyCount,Date
spannjt,erazorhead,1440,1513,1/2-1/2,300+0,A45,104,2025.05.30
NAGGTETE,Shatranje,1214,1454,0-1,180+0,C41,30,2025.05.30
kamenozrout,Geforce,1936,2067,1-0,300+0,D00,93,2025.05.30
MIHAILOP,mcstorytaller,2159,1697,1-0,300+10,C10,33,2025.05.30
murrinka,atlasNTST,1421,1492,0-1,180+0,C23,54,2025.05.30
damouno,mimaros,2058,1774,1-0,240+0,B22,93,2025.05.30
dcawai,PAHELLO,1552,1562,0-1,180+0,B01,42,2025.05.30
hoosierdog,epsy,1599,1629,1-0,180+0,C00,89,2025.05.30
LordMelbury,Mariorichard,1745,1645,1-0,900+0,C44,25,2025.05.30
surrealmadrid,Jakubas,1656,1767,1/2-1/2,900+0,C00,52,2025.05.30
Shatranje,dominospizza,1458,1673,0-1,180+0,A00,154,2025.05.30
Centerman,philmic,1706,1484,1-0,180+0,B07,41,2025.05.30
Marmari,ShallowPurple,1483,1654,0-1,300+0,E50,46,2025.05.30
camthejam,NAGGTETE,1575,1216,1-0,180+0,A21,23,2025.05.30
pheince,Nochance,1654,1397,1-0,300+0,A00,35,2025.05.30
anomis,canio,1240,1299,0-1,180+0,C41,74,2025.05.30
Mariorichard,LordMelbury,1634,1756,1-0,900+0,C50,35,2025.05.30
GussieFinkNottle,GeorgeCool,1559,1599,1/2-1/2,180+0,C23,120,2025.05.30
LuigiBot,Navarrra,1650,1497,1-0,900+0,C20,87,2025.05.30
pvdha,rajasthan,1252,1225,1-0,300+0,A40,47,2025.05.30
erazorhead,spannjt,1506,1447,1-0,300+0,B00,59,2025.05.30
kobasa,camthejam,1555,1584,1-0,180+0,A04,35,2025.05.30
Johnas,JoeO,1583,1679,1-0,180+0,A40,91,2025.05.30
mcstorytaller,MIHAILOP,1698,2158,0-1,300+10,C77,44,2025.05.30
suckermc,kobasa,1432,1550,0-1,300+0,A00,70,2025.05.30
andelcer,CeruleanJS,1796,1972,1-0,300+0,A40,101,2025.05.30
TicTakk,CalabiYau,1238,1351,0-1,180+12,C41,52,2025.05.30
Marmari,ozangi,1490,1534,0-1,180+0,B01,104,2025.05.30
PAHELLO,dcawai,1571,1543,0-1,180+0,B07,56,2025.05.30
tacneno,OldHolborn,1247,1398,1-0,300+3,C00,69,2025.05.30
hoosierdog,murrinka,1595,1425,1-0,180+0,B07,77,2025.05.30
camthejam,chasp,1593,1554,0-1,180+0,D10,50,2025.05.30
Nochance,DimkinB,1402,1542,0-1,300+0,B01,130,2025.05.30
dominospizza,Shatranje,1669,1462,1-0,180+0,A00,145,2025.05.30
mimaros,damouno,1768,2064,1/2-1/2,240+0,A40,154,2025.05.30
jcazcal,pheince,1545,1648,0-1,300+0,D30,52,2025.05.30
chamilus,GriffyJr,2100,2056,0-1,1200+20,B00,30,2025.05.30
spannjt,erazorhead,1437,1516,1-0,300+0,A48,117,2025.05.30
amiriyan,anusja,1429,1450,1-0,360+10,C24,119,2025.05.30
LordMelbury,Mariorichard,1750,1640,1-0,900+0,C44,55,2025.05.30
Navarrra,LuigiBot,1502,1645,0-1,900+0,B22,140,2025.05.30
canio,ErrareHumanumEst,1300,1776,0-1,180+0,C20,122,2025.05.30
epsy,GeorgeCool,1621,1607,1-0,180+0,D02,85,2025.05.30
dcawai,PAHELLO,1551,1563,0-1,180+0,C50,82,2025.05.30
guiga,camthejam,1435,1588,0-1,180+0,B29,150,2025.05.30
JustAdam,murrinka,1637,1429,1-0,180+0,A41,89,2025.05.30
denki,matodorov,1669,1766,0-1,180+0,E80,86,2025.05.30
pingupenguin,akx,1861,1834,0-1,180+0,C63,36,2025.05.30
pheince,jcazcal,1650,1543,1/2-1/2,300+0,A00,96,2025.05.30
GriffyJr,chamilus,2063,2093,0-1,1200+20,C55,38,2025.05.30
varkster,chasp,1552,1562,1-0,180+0,B21,97,2025.05.30
LuigiBot,Navarrra,1640,1507,1-0,900+0,C26,127,2025.05.30
ErrareHumanumEst,NoVaxDjoCOVID,1786,1675,0-1,180+0,B22,66,2025.05.30
Deemon,pingupenguin,1731,1856,0-1,180+0,D00,130,2025.05.30
MIHAILOP,mcstorytaller,2157,1699,1-0,300+10,C10,63,2025.05.30
corneliosif,Aromas,1897,2054,1-0,900+0,A52,63,2025.05.30
Geforce,kamenozrout,2062,1941,1-0,300+0,C00,29,2025.05.30
dominospizza,Gryphus,1663,1585,1-0,180+0,A00,77,2025.05.30
CeruleanJS,andelcer,1968,1800,1-0,300+0,A01,17,2025.05.30
scalaQueen,epsy,1789,1626,1-0,180+0,A40,71,2025.05.30
erazorhead,TotoLeTak,1523,1574,0-1,300+0,C25,74,2025.05.30
damouno,mimaros,2061,1771,1-0,240+0,B22,83,2025.05.30
andelcer,CeruleanJS,1805,1963,0-1,300+0,A40,40,2025.05.30
Jakubas,surrealmadrid,1761,1662,1-0,900+0,C24,83,2025.05.30
dcawai,Centerman,1556,1701,0-1,180+0,B90,60,2025.05.30
PAHELLO,GussieFinkNottle,1571,1551,0-1,180+0,C43,144,2025.05.30
murrinka,JustAdam,1416,1650,1-0,180+0,C20,95,2025.05.30
GeorgeCool,FZi,1594,1849,1-0,180+0,B01,71,2025.05.30
Thialf,SWITCHHITTER,1846,1856,0-1,60+0,A04,80,2025.05.30
rusalka,GNVN,1266,1243,1/2-1/2,120+12,A40,164,2025.05.30
claytondfour,Nochance,1612,1389,0-1,180+0,D00,74,2025.05.30
Mariorichard,vmr,1633,1566,1-0,900+0,C57,81,2025.05.30
LSQUARED,NoVaxDjoCOVID,1617,1668,0-1,180+0,B40,28,2025.05.30
CeruleanJS,andelcer,1958,1810,1-0,300+0,D45,51,2025.05.30
SWITCHHITTER,Thialf,1848,1860,1-0,60+0,A00,79,2025.05.30
Sirena,denki,1551,1664,0-1,180+0,D35,106,2025.05.30
pingupenguin,ErrareHumanumEst,1866,1776,0-1,180+0,C45,120,2025.05.30
Navarrra,LuigiBot,1512,1635,0-1,900+0,B22,50,2025.05.30
epsy,scalaQueen,1631,1784,0-1,180+0,A80,64,2025.05.30
CoolDad,StevanM,1744,1880,0-1,180+0,C00,58,2025.05.30
fiesh,Thialf,1761,1883,0-1,180+0,B06,58,2025.05.30
Gryphus,camthejam,1577,1596,1-0,180+0,A49,87,2025.05.30
MaNuNu,dominospizza,1703,1670,1-0,180+0,B00,89,2025.05.30
bobsongtan,ytunde,1898,1720,1-0,180+0,A45,41,2025.05.30
Procyon,guiga,1361,1445,1-0,180+0,D20,145,2025.05.30
spannjt,pheince,1441,1646,0-1,300+0,D00,66,2025.05.30
Centerman,dcawai,1713,1544,0-1,180+0,B06,32,2025.05.30
andelcer,CeruleanJS,1815,1953,0-1,300+0,A43,68,2025.05.30
rajasthan,pentheas,1227,1536,0-1,600+0,B10,80,2025.05.30
erazorhead,kontrarie,1515,1513,1-0,300+0,B20,41,2025.05.30
JustAdam,murrinka,1647,1419,1-0,180+0,A40,53,2025.05.30
GeorgeCool,claytondfour,1602,1604,0-1,180+0,C02,54,2025.05.30
TotoLeTak,suckermc,1569,1437,1-0,300+0,B00,81,2025.05.30
chasp,PAHELLO,1570,1563,0-1,180+0,D11,38,2025.05.30
CoolDad,StevanM,1749,1875,0-1,180+0,C00,60,2025.05.30
fiesh,Deemon,1762,1730,1/2-1/2,180+0,B40,144,2025.05.30
mcFritz,icexman,1358,1469,0-1,300+0,C45,66,2025.05.30
DuckBilled,Centerman,1684,1705,0-1,180+0,A04,53,2025.05.30
NoVaxDjoCOVID,HarryPaul,1674,1773,0-1,180+0,C31,80,2025.05.30
kamenozrout,Geforce,1947,2056,0-1,300+0,B00,98,2025.05.30
EinerWieKeiner,pingupenguin,1903,1873,1-0,180+0,A07,63,2025.05.30
uloseiwin,NOCEBO,1743,1676,0-1,180+0,A45,76,2025.05.30
patc,ErrareHumanumEst,1558,1779,0-1,60+0,D00,78,2025.05.30
melun,bobsongtan,1705,1910,1-0,180+0,B07,109,2025.05.30
Caarreeyy,erazorhead,1491,1524,1-0,300+0,A56,45,2025.05.30
camthejam,Gryphus,1588,1585,1-0,180+0,A21,103,2025.05.30
mcstorytaller,MIHAILOP,1926,2520,0-1,900+10,B00,82,2025.05.30
CoolDad,StevanM,1754,1870,0-1,180+0,C00,76,2025.05.30
eisinger,PAHELLO,1661,1553,0-1,180+0,C62,84,2025.05.30
hamneggs,Procyon,1147,1357,0-1,180+0,D02,36,2025.05.30
CeruleanJS,andelcer,1948,1820,1-0,300+0,C00,69,2025.05.30
icexman,mcFritz,1463,1364,1-0,300+0,C47,109,2025.05.30
murrinka,paulcoumans,1412,1352,1-0,180+0,B07,59,2025.05.30
Dpouchy,hejkal,1371,1487,0-1,120+12,C02,92,2025.05.30
netanava,uloseiwin,1715,1735,0-1,180+0,D06,54,2025.05.30
Baxters,claytondfour,1616,1612,1-0,180+0,D00,97,2025.05.30
drumme,atlasNTST,1298,1488,0-1,300+0,C23,158,2025.05.30
erazorhead,spannjt,1518,1447,1-0,300+0,B01,125,2025.05.30
ChessNeo,burlon,1680,1706,1-0,900+0,C41,57,2025.05.30
bobsongtan,melun,1906,1709,1-0,180+0,C10,55,2025.05.30
denki,fiesh,1662,1764,1/2-1/2,180+0,D02,124,2025.05.30
flavo,Bartver,1350,1423,0-1,180+0,D20,76,2025.05.30
pingupenguin,akx,1882,1825,0-1,180+0,C44,68,2025.05.30
TotoLeTak,Bormaglot,1562,1511,1-0,180+0,C40,73,2025.05.30
StevanM,CoolDad,1881,1743,0-1,180+0,A40,82,2025.05.30
melun,bobsongtan,1713,1902,0-1,180+0,B00,126,2025.05.30
HarryPaul,MaNuNu,1783,1693,0-1,180+0,B06,110,2025.05.30
Gryphus,RousterRook,1579,1470,1-0,180+0,A10,85,2025.05.30
Fleskusflint,camthejam,1517,1598,1-0,180+0,A45,93,2025.05.30
andelcer,CeruleanJS,1825,1943,0-1,300+0,D04,62,2025.05.30
WIZARDofOZ,HWPer,1522,1498,1-0,300+0,D00,55,2025.05.30
Deemon,uloseiwin,1738,1727,0-1,180+0,D00,88,2025.05.30
PAHELLO,Baxters,1560,1609,0-1,180+0,C41,50,2025.05.30
GriffySr,chamilus,2091,2101,1-0,1200+20,A81,35,2025.05.30
akx,pingupenguin,1824,1883,1/2-1/2,180+0,A40,82,2025.05.30
shno,Jirkar,1470,1331,1-0,300+0,C23,87,2025.05.30
twagner,susant,1561,1570,0-1,180+0,A40,67,2025.05.30
Bartver,flavo,1433,1337,0-1,180+0,B01,124,2025.05.30
CoolDad,fiesh,1751,1756,0-1,180+0,C26,80,2025.05.30
SicilianLove,erazorhead,1816,1520,1-0,300+0,B18,47,2025.05.30
Baxters,PAHELLO,1619,1550,0-1,180+0,D00,142,2025.05.30
anusja,Yrusia,1445,1284,1-0,360+12,A46,41,2025.05.30
bobsongtan,melun,1898,1717,1-0,180+0,C10,63,2025.05.30
mcFritz,spannjt,1370,1441,0-1,300+0,B01,62,2025.05.30
camthejam,holyjoe,1596,1241,1-0,180+0,A21,83,2025.05.30
ErrareHumanumEst,Gryphus,1772,1583,1-0,180+0,B01,55,2025.05.30
CeruleanJS,andelcer,1937,1831,1-0,300+0,C00,78,2025.05.30
drumme,TotoLeTak,1301,1559,0-1,300+0,B02,84,2025.05.30
Geforce,konozrout,2047,2074,1-0,300+0,A00,55,2025.05.30
meroramadan,Polymorphe,1875,1933,1-0,1200+0,B90,59,2025.05.30
melun,bobsongtan,1705,1910,1-0,180+0,B00,43,2025.05.30
airbrushart,Lakritzl,1717,1656,0-1,1200+0,C34,102,2025.05.30
LEOLO,akx,1848,1832,1-0,180+0,A20,81,2025.05.30
fiesh,CoolDad,1765,1742,0-1,180+0,B00,56,2025.05.30
capomio,Jakubas,1650,1755,0-1,900+0,A41,66,2025.05.30
MaNuNu,LSQUARED,1686,1624,1-0,180+0,B50,71,2025.05.30
thym,Caarreeyy,1575,1481,0-1,300+0,C37,28,2025.05.30
flavo,Bartver,1345,1427,0-1,180+0,C23,100,2025.05.30
spannjt,erazorhead,1431,1530,1-0,300+0,A45,149,2025.05.30
bobsongtan,melun,1906,1709,1-0,180+0,C10,65,2025.05.30
fiesh,camthejam,1760,1601,1-0,180+0,B50,53,2025.05.30
holyjoe,Jirkar,1231,1341,1-0,180+0,C20,79,2025.05.30
pdrag,tacneno,1532,1250,1-0,300+0,C00,51,2025.05.30
andelcer,CeruleanJS,1837,1931,0-1,300+0,A80,76,2025.05.30
CoolDad,ErrareHumanumEst,1750,1764,0-1,180+0,C28,58,2025.05.30
PAHELLO,janok,1541,1566,1-0,180+0,B23,57,2025.05.30
Geforce,chesspickle,2054,2080,0-1,300+0,B01,108,2025.05.30
GNVN,rusalka,1251,1258,0-1,120+12,C00,112,2025.05.30
CoolDad,lethalgambit,1754,1944,0-1,180+0,B30,52,2025.05.30
melun,bobsongtan,1705,1910,1/2-1/2,180+0,B00,124,2025.05.30
ErrareHumanumEst,Lumpy,1773,1666,1-0,60+0,B01,99,2025.05.30
drumme,shno,1306,1465,0-1,300+0,C23,96,2025.05.30
blore,mcstorytaller,1996,1916,0-1,900+10,D11,146,2025.05.30
MaNuNu,Sirena,1681,1556,1-0,180+0,B51,69,2025.05.30
hejkal,Dpouchy,1498,1360,0-1,120+12,C26,66,2025.05.30
Bartver,flavo,1420,1354,1-0,180+0,B03,159,2025.05.30
Lumpy,patc,1660,1564,1-0,60+0,B20,67,2025.05.30
yummycrepe,ErrareHumanumEst,1621,1775,1-0,300+0,C65,61,2025.05.30
Yrusia,DonTBeadick,1710,1707,0-1,900+15,C53,42,2025.05.30
peterjohn,rajasthan,1385,1232,1-0,240+0,A40,79,2025.05.30
lolaner,Fleskusflint,1811,1503,0-1,180+0,A03,90,2025.05.30
camthejam,susant,1610,1561,0-1,180+0,A22,60,2025.05.30
foggydew,GriffySr,2223,2085,1-0,300+0,B22,53,2025.05.30
spannjt,pdrag,1437,1526,0-1,300+0,D00,128,2025.05.30
hastrman,Prutske,1643,1485,1-0,120+12,A30,24,2025.05.30
walpurti,tacneno,2116,1250,1-0,300+0,A04,1,2025.05.30
bobsongtan,melun,1914,1701,1/2-1/2,180+0,D00,133,2025.05.30
burlon,tacneno,1698,1700,1-0,900+0,B21,43,2025.05.30
holyjoe,hamneggs,1225,1153,1-0,180+0,B02,14,2025.05.30
drumme,Vassis,1296,1364,1-0,300+0,C23,73,2025.05.30
blitzVader,camthejam,1735,1615,1-0,180+0,B20,37,2025.05.30
CeruleanJS,andelcer,1925,1843,1-0,300+0,A53,35,2025.05.30
Ciompolov,holyjoe,1574,1211,0-1,180+0,C41,96,2025.05.30
akx,SicilianLove,1841,1807,0-1,180+0,A45,46,2025.05.30
thomass,CoolDad,1734,1746,0-1,180+0,A10,68,2025.05.30
toao,MaNuNu,1673,1673,0-1,180+0,B06,86,2025.05.30
GriffySr,foggydew,2090,2218,0-1,300+0,C42,22,2025.05.30
Jirkar,chopinscherzo,1335,1230,1-0,300+0,C02,59,2025.05.30
blitzVader,MCCapitan,1730,1603,1-0,180+0,A04,63,2025.05.30
susant,Maderakis,1555,1451,1-0,180+1,D06,73,2025.05.30
catcheck,anusja,1477,1436,0-1,240+12,D46,48,2025.05.30
flavo,Bartver,1363,1413,0-1,180+0,A03,110,2025.05.30
Bormaglot,Fleskusflint,1520,1494,0-1,180+0,C44,94,2025.05.30
camthejam,varkster,1608,1559,1-0,180+0,A21,95,2025.05.30
melun,bobsongtan,1705,1910,0-1,180+0,B00,74,2025.05.30
HBtime,VictoriaBot,2167,1878,1-0,900+0,A00,69,2025.05.30
SicilianLove,CroatianKnight,1803,1584,1-0,180+2,B45,23,2025.05.30
ErrareHumanumEst,Lumpy,1767,1666,1-0,60+0,B01,95,2025.05.30
holyjoe,Ciompolov,1213,1572,0-1,180+0,B20,62,2025.05.30
zhe,faceache,1542,1290,0-1,300+0,C00,58,2025.05.30
CroatianKnight,SicilianLove,1588,1799,0-1,180+2,A56,102,2025.05.30
StoffelS,thomass,1866,1723,0-1,180+0,A02,32,2025.05.30
ErrareHumanumEst,lolaner,1783,1803,0-1,180+0,B06,52,2025.05.30
uloseiwin,StoffelS,1732,1861,0-1,180+0,B10,30,2025.05.30
andelcer,CeruleanJS,1833,1935,1-0,300+0,A47,165,2025.05.30
lethalgambit,akx,1938,1847,1-0,180+0,A57,87,2025.05.30
ArasanX,BorkaTower,2777,2754,1/2-1/2,900+0,D06,346,2025.05.30
pentheas,Vassis,1531,1369,1-0,600+0,C34,115,2025.05.30
Sirena,PAHELLO,1565,1532,0-1,180+0,A22,74,2025.05.30
MCCapitan,blitzVader,1592,1741,1-0,180+0,A50,109,2025.05.30
Bartver,flavo,1423,1349,0-1,180+0,B03,70,2025.05.30
RousterRook,ozangi,1477,1527,0-1,180+0,D00,104,2025.05.30
Maderakis,susant,1440,1566,1-0,180+1,A40,35,2025.05.30
bobsongtan,uloseiwin,1906,1736,1-0,180+0,D00,65,2025.05.30
Jirkar,LWRoad,1332,1487,1/2-1/2,300+0,B01,65,2025.05.30
hastrman,Dpouchy,1640,1363,1-0,120+12,C30,39,2025.05.30
philmic,zhe,1474,1552,1-0,180+0,B23,67,2025.05.30
leibek,corneliosif,1992,1887,0-1,900+0,B13,138,2025.05.30
faceache,Maderakis,1295,1435,0-1,300+0,C41,78,2025.05.30
rusalka,GNVN,1250,1259,1-0,120+12,A40,71,2025.05.30
Prutske,hejkal,1476,1507,1-0,120+12,D00,141,2025.05.30
susant,camthejam,1557,1617,1-0,180+0,E60,153,2025.05.30
foggydew,pikozrout,2225,2257,0-1,300+0,B01,68,2025.05.30
thomass,bobsongtan,1711,1918,1-0,180+0,A04,127,2025.05.30
anusja,catcheck,1427,1486,1-0,240+12,D05,25,2025.05.30
icexman,spannjt,1455,1445,1-0,300+0,B01,113,2025.05.30
igor,chesspickle,1608,2079,0-1,300+0,B20,92,2025.05.30
lethalgambit,uloseiwin,1934,1740,1-0,180+0,D53,83,2025.05.30
Jakubas,Mariorichard,1749,1639,1-0,900+0,C25,19,2025.05.30
BlackDemon,Knightsmasher,2842,2360,1-0,300+0,B90,67,2025.05.30
blitzVader,MCCapitan,1753,1580,0-1,180+0,C34,52,2025.05.30
akx,lolaner,1840,1810,1-0,180+0,A83,87,2025.05.30
GriffyJr,HBtime,2052,2178,1-0,900+0,A41,75,2025.05.30
Mariorichard,Jakubas,1645,1743,0-1,900+0,B07,36,2025.05.30
suckermc,JensenEdu,1445,1429,0-1,300+0,A00,98,2025.05.30
pikozrout,foggydew,2266,2216,0-1,300+0,C24,102,2025.05.30
borell,capomio,1515,1645,0-1,900+0,B20,58,2025.05.30
zhe,philmic,1545,1481,1-0,180+0,B07,69,2025.05.30
inemuri,Jagoo,1275,1429,1-0,180+0,A04,11,2025.05.30
Jagoo,inemuri,1441,1263,0-1,180+0,A00,10,2025.05.30
Kanbales,blitzVader,1273,1752,0-1,180+0,B03,76,2025.05.30
inemuri,Jagoo,1251,1453,1-0,180+0,A04,13,2025.05.30
uloseiwin,Sirena,1752,1553,0-1,180+0,A44,58,2025.05.30
PAHELLO,lethalgambit,1533,1933,0-1,180+0,B20,86,2025.05.30
thomass,toao,1720,1664,0-1,180+0,A13,136,2025.05.30
leolie,Jagoo,1484,1444,0-1,240+0,B15,72,2025.05.30
chesspickle,igor,2078,1609,1-0,300+0,C34,83,2025.05.30
spannjt,icexman,1453,1447,0-1,300+0,D00,142,2025.05.30
chamilus,GriffyJr,2102,2051,1/2-1/2,1200+20,B00,90,2025.05.30
Maderakis,faceache,1430,1300,1-0,300+0,D31,55,2025.05.30
Jakubas,Mariorichard,1737,1651,1-0,900+0,C23,46,2025.05.30
philmic,zhe,1471,1556,1-0,180+0,B23,69,2025.05.30
nsns,akx,1915,1830,0-1,180+0,B33,78,2025.05.30
Caarreeyy,JMarGa,1486,1615,0-1,300+0,D15,40,2025.05.30
DonTBeadick,Jirkar,1342,1340,1-0,300+0,C24,67,2025.05.30
SicilianLove,Rossgo,1806,1844,0-1,180+0,B85,130,2025.05.30
anusja,Dagg,1419,1425,1-0,360+10,D00,35,2025.05.30
uloseiwin,NoVaxDjoCOVID,1745,1681,1-0,180+0,A44,145,2025.05.30
lolaner,Kanbales,1809,1275,1-0,180+0,A02,59,2025.05.30
Albanianmaster,blitzVader,1638,1746,0-1,180+0,A00,70,2025.05.30
Dpouchy,hastrman,1366,1637,0-1,120+12,B21,70,2025.05.30
atlasNTST,suckermc,1497,1436,0-1,300+0,D20,68,2025.05.30
ShallowPurple,jezeo,1650,1482,1-0,300+0,B00,62,2025.05.30
GotreksAxe,MCCapitan,1764,1584,1-0,180+0,C25,49,2025.05.30
GNVN,rusalka,1251,1258,1-0,120+12,C47,89,2025.05.30
stewarty,boeng,1872,1888,1-0,900+0,D02,107,2025.05.30
Jagoo,leolie,1435,1493,1-0,240+0,D00,85,2025.05.30
NOCEBO,thomass,1683,1713,0-1,180+0,A04,64,2025.05.30
zhe,LorenzoDV,1550,1442,1-0,300+0,C34,51,2025.05.30
Mariorichard,JoseMgom,1642,1690,1-0,900+0,B50,65,2025.05.30
philmic,Maderakis,1464,1437,1-0,180+0,C25,79,2025.05.30
mcstorytaller,MIHAILOP,1692,2164,1/2-1/2,300+10,C77,67,2025.05.30
Lumpy,SWITCHHITTER,1654,1860,1-0,60+0,C00,113,2025.05.30
igor,chesspickle,1610,2077,0-1,300+0,C20,100,2025.05.30
akx,nsns,1836,1909,0-1,180+0,D00,52,2025.05.30
ChessMtr,JMarGa,1568,1608,0-1,300+0,B01,33,2025.05.30
blitzVader,Albanianmaster,1757,1627,0-1,180+0,A04,68,2025.05.30
NoVaxDjoCOVID,uloseiwin,1679,1747,1/2-1/2,180+0,B01,148,2025.05.30
suckermc,atlasNTST,1426,1507,1-0,300+0,A00,11,2025.05.30
AnEndGame,pentheas,1349,1543,1-0,600+0,A00,115,2025.05.30
Rossgo,SicilianLove,1853,1797,0-1,180+0,A10,94,2025.05.30
monzaGse,JensenEdu,1283,1440,1-0,300+0,C01,67,2025.05.30
SWITCHHITTER,Lumpy,1864,1650,1/2-1/2,60+0,A00,127,2025.05.30
icexman,spannjt,1455,1445,0-1,300+0,B00,124,2025.05.30
JustAdam,naomi,1643,1477,1-0,180+0,A46,43,2025.05.30
LorenzoDV,Jirkar,1436,1346,1-0,300+0,C20,57,2025.05.30
jezeo,callipygian,1471,1613,1-0,180+0,B00,61,2025.05.30
defensamaya,PAHELLO,1546,1524,0-1,180+0,A00,126,2025.05.30
Lumpy,SWITCHHITTER,1654,1860,0-1,60+0,C00,84,2025.05.30
nsns,akx,1902,1843,1-0,180+0,C63,121,2025.05.30
leolie,Jagoo,1486,1442,1-0,240+0,B15,67,2025.05.30
JensenEdu,monzaGse,1435,1288,1-0,300+0,A20,47,2025.05.30
naomi,JustAdam,1482,1638,0-1,180+0,A06,138,2025.05.30
SWITCHHITTER,Lumpy,1856,1658,1-0,60+0,A00,97,2025.05.30
scalaQueen,AMBROFACCHINETTI,1856,1542,0-1,900+0,A10,64,2025.05.30
blitzVader,fatalfred,1755,1407,1-0,180+0,C30,37,2025.05.30
uloseiwin,Caarreeyy,1744,1489,1-0,180+0,C48,65,2025.05.30
mvlassarev,jezeo,1468,1463,0-1,300+0,A10,34,2025.05.30
seabed,dmgrant,1543,1628,0-1,60+5,C00,84,2025.05.30
chesspickle,igor,2076,1611,1-0,300+0,C30,51,2025.05.30
Lumpy,SWITCHHITTER,1662,1852,0-1,60+0,C00,70,2025.05.30
Anselmus,weaktrick,1452,1188,1-0,120+12,B20,65,2025.05.30
Mucke,atlasNTST,1413,1501,0-1,180+0,C46,54,2025.05.30
Jirkar,LorenzoDV,1352,1430,0-1,300+0,C41,58,2025.05.30
BorkaTower,ArasanX,2740,2790,1/2-1/2,180+0,D40,144,2025.05.30
jezeo,mvlassarev,1454,1477,1-0,300+0,D00,43,2025.05.30
Jagoo,leolie,1433,1495,1-0,240+0,A45,89,2025.05.30
akx,nsns,1833,1912,1-0,180+0,C11,25,2025.05.30
CeruleanJS,andelcer,1929,1839,1-0,300+0,D45,61,2025.05.30
JustAdam,defensamaya,1649,1535,0-1,180+0,A41,72,2025.05.30
blitzVader,yummycrepe,1766,1610,0-1,300+0,C30,90,2025.05.30
thomass,melun,1722,1696,0-1,180+0,A00,54,2025.05.30
JMarGa,Wildguy,1599,1664,1-0,300+0,D55,43,2025.05.30
MIHAILOP,mcstorytaller,2163,1693,1-0,300+10,C10,99,2025.05.30
NOCEBO,Zelp,1687,1904,0-1,180+0,D31,58,2025.05.30
Caarreeyy,LorenzoTraldi,1494,1616,0-1,300+0,E61,92,2025.05.30
spannjt,icexman,1445,1455,1/2-1/2,300+0,D00,152,2025.05.30
igor,chesspickle,1612,2075,0-1,300+0,B01,56,2025.05.30
monzaGse,ett,1278,1370,1-0,180+0,B20,57,2025.05.30
mvlassarev,jezeo,1478,1453,1/2-1/2,300+0,A10,99,2025.05.30
SicilianLove,StoffelS,1787,1871,1-0,180+0,B15,97,2025.05.30
rusalka,GNVN,1250,1259,1-0,120+12,B22,203,2025.05.30
ArasanX,BorkaTower,2791,2739,1/2-1/2,180+0,B03,364,2025.05.30
ozangi,KnifeKnight,1534,1592,0-1,180+0,A00,105,2025.05.30
ett,monzaGse,1380,1268,0-1,180+0,D02,46,2025.05.30
Pakpawn,defensamaya,1526,1527,0-1,180+0,B07,126,2025.05.30
lethalgambit,ShallowPurple,2134,1873,1-0,900+0,D53,69,2025.05.30
melun,thomass,1704,1714,0-1,180+0,B23,100,2025.05.30
bobsongtan,justjim,1917,1413,1-0,180+0,D00,43,2025.05.30
mosaicdancer,bobbyrob,1609,1723,0-1,180+0,B23,114,2025.05.30
chesspickle,igor,2074,1613,1-0,300+0,C34,79,2025.05.30
LorenzoDV,chesstattoo,1439,1406,0-1,300+0,C20,66,2025.05.30
jezeo,mvlassarev,1444,1487,1-0,300+0,D00,47,2025.05.30
hejkal,mohdriaz,1499,1487,1-0,120+12,C41,89,2025.05.30
andelcer,CeruleanJS,1845,1923,0-1,300+0,A80,58,2025.05.30
justjim,Jagoo,1421,1425,0-1,180+0,B10,114,2025.05.30
varkster,blitzVader,1563,1762,0-1,180+0,B02,45,2025.05.30
LSQUARED,netanava,1630,1709,0-1,180+0,C00,86,2025.05.30
Lakritzl,borell,1668,1504,0-1,900+0,B07,31,2025.05.30
kamenozrout,istwoud,1946,1405,1-0,300+0,A04,31,2025.05.30
icexman,spannjt,1447,1453,1-0,300+0,B00,91,2025.05.30
Miketinac,Caarreeyy,1639,1483,0-1,300+0,A01,36,2025.05.30
defensamaya,Pakpawn,1535,1518,0-1,180+0,A00,98,2025.05.30
Kiwrin,suleim,1661,1542,1-0,180+0,A45,21,2025.05.30
CroatianKnight,NOCEBO,1594,1681,0-1,180+0,E61,40,2025.05.30
jezeo,ytunde,1447,1717,0-1,300+0,A45,90,2025.05.30
HBtime,Deemon,1851,1825,1-0,180+0,B28,109,2024.09.19
KENR,KnifeKnight,1109,1591,0-1,180+0,B01,58,2025.05.30
yummycrepe,blitzVader,1598,1774,1-0,300+0,B05,131,2025.05.30
suleim,Kiwrin,1548,1655,0-1,180+0,C50,94,2025.05.30
asalman,akx,1824,1825,0-1,180+0,C28,72,2025.05.30
thomass,melun,1723,1695,0-1,180+0,A20,56,2025.05.30
Jagoo,justjim,1433,1413,0-1,180+0,D00,34,2025.05.30
igor,chesspickle,1614,2073,0-1,300+0,C44,92,2025.05.30
chesstattoo,spannjt,1397,1462,1-0,300+0,A20,49,2025.05.30
netanava,Sapr,1715,1807,0-1,180+0,A52,80,2025.05.30
KENR,KnifeKnight,1110,1590,0-1,180+0,A10,62,2025.05.30
