White,Black,WhiteElo,BlackElo,Result,TimeControl,ECO,PlyCount,Date
LWRoad,yummycrepe,1431,1636,0-1,300+0,A04,72,2025.05.30
ChequeMade,Oak,1671,1565,1-0,180+0,C23,57,2025.05.30
cibrid,igor,1578,1612,1-0,300+0,C41,175,2025.05.30
Qidel,johnmar,1526,1611,0-1,300+0,C44,56,2025.05.30
Moondance,fatalfred,1737,1401,1-0,180+0,C30,77,2025.05.30
ShallowPurple,jungdo,1868,1600,1-0,900+0,A40,61,2025.05.30
KINGJarthur,LuigiBot,1630,1695,1-0,900+0,A00,103,2025.05.30
Oak,ChequeMade,1571,1665,0-1,180+0,C31,96,2025.05.30
Mmalawi,inemuri,1382,1271,0-1,300+0,A50,76,2025.05.30
IjonTichy,ErrareHumanumEst,1588,1790,0-1,60+0,C65,78,2025.05.30
teddya,Guimasbec,1443,1891,0-1,300+0,E61,36,2025.05.30
Durol,JoeO,1677,1695,0-1,180+0,B06,84,2025.05.30
venazvz,gcolen,1753,1773,1/2-1/2,180+0,D02,126,2025.05.30
Qidel,Zoomy,1517,1558,1-0,180+0,C44,57,2025.05.30
ErrareHumanumEst,IjonTichy,1786,1592,1-0,60+0,C41,61,2025.05.30
fatalfred,Moondance,1403,1735,0-1,180+0,D01,52,2025.05.30
johnmar,rekkpop,1620,1570,0-1,300+0,C41,50,2025.05.30
LuigiBot,KINGJarthur,1688,1637,1-0,900+0,C00,85,2025.05.30
jatapia,broosethemoose,1310,1241,1-0,120+15,A41,65,2025.05.30
IjonTichy,ErrareHumanumEst,1596,1782,0-1,60+0,C65,66,2025.05.30
tennosan,LWRoad,1307,1426,0-1,300+0,B00,62,2025.05.30
inemuri,Mmalawi,1268,1385,1/2-1/2,300+0,A00,57,2025.05.30
ChequeMade,Oak,1659,1577,1-0,180+0,C23,61,2025.05.30
defensamaya,elrukapillan,1528,1440,0-1,180+0,A00,22,2025.05.30
igor,cibrid,1604,1586,1-0,300+0,B00,117,2025.05.30
Guimasbec,teddya,1890,1444,1-0,300+0,D38,53,2025.05.30
ErrareHumanumEst,IjonTichy,1778,1600,1-0,60+0,C41,87,2025.05.30
Zoomy,Qidel,1567,1508,0-1,180+0,C45,88,2025.05.30
venazvz,CeruleanJS,1757,1962,0-1,300+0,A46,104,2025.05.30
hejkal,amiriyan,1448,1433,0-1,120+12,D07,64,2025.05.30
Moondance,Durol,1745,1667,0-1,180+0,B10,74,2025.05.30
IjonTichy,ErrareHumanumEst,1604,1774,0-1,60+0,C44,54,2025.05.30
Patatin,DELAVINANDIOR,1276,1548,0-1,300+5,B21,58,2025.05.30
Mmalawi,inemuri,1379,1274,1-0,300+0,A40,25,2025.05.30
inemuri,Mmalawi,1280,1373,0-1,300+0,A00,68,2025.05.30
rusalka,lethalgambit,1669,2137,0-1,900+0,D01,40,2025.05.30
morlok,fatalfred,1417,1411,1-0,180+0,C21,57,2025.05.30
Oak,ChequeMade,1583,1653,0-1,180+0,C23,48,2025.05.30
ErrareHumanumEst,IjonTichy,1786,1592,0-1,60+0,C41,35,2025.05.30
Hugoclorinda,hastrman,1770,2056,1-0,900+0,D86,61,2025.05.30
Anmelus,Moondance,1581,1740,0-1,180+0,A00,106,2025.05.30
KINGJarthur,LuigiBot,1644,1681,0-1,900+0,A00,46,2025.05.30
IjonTichy,ErrareHumanumEst,1596,1782,0-1,60+0,C65,82,2025.05.30
Qidel,Zoomy,1515,1560,0-1,180+0,C25,72,2025.05.30
Mmalawi,inemuri,1367,1286,1-0,300+0,A50,73,2025.05.30
ErrareHumanumEst,IjonTichy,1778,1600,1-0,60+0,C41,73,2025.05.30
CalabiYau,DonTBeadick,1347,1355,0-1,180+12,D02,138,2025.05.30
LuigiBot,KINGJarthur,1673,1652,1-0,900+0,C00,111,2025.05.30
ChequeMade,Oak,1663,1573,0-1,180+0,C23,82,2025.05.30
ImgonnaMateYou,ruatuti,1597,1480,1-0,300+0,A40,107,2025.05.30
IjonTichy,ErrareHumanumEst,1604,1774,0-1,60+0,C65,54,2025.05.30
Moondance,Anmelus,1735,1586,1-0,180+0,A05,39,2025.05.30
CeruleanJS,venazvz,1958,1761,1-0,300+0,D00,95,2025.05.30
ErrareHumanumEst,IjonTichy,1786,1592,0-1,60+0,C21,62,2025.05.30
rugs,konozrout,1715,2054,0-1,300+0,A80,46,2025.05.30
ervenperlasangler,GeorgeCool,1658,1659,1-0,180+0,C44,105,2025.05.30
morlok,Moondance,1419,1733,0-1,180+0,C21,84,2025.05.30
Zoomy,Qidel,1553,1522,1-0,180+0,C42,83,2025.05.30
IjonTichy,ErrareHumanumEst,1596,1782,0-1,60+0,C65,66,2025.05.30
Oak,ChequeMade,1579,1657,0-1,180+0,C31,70,2025.05.30
amiriyan,hejkal,1424,1457,1-0,120+12,B20,59,2025.05.30
fatalfred,yummycrepe,1415,1632,0-1,300+0,D01,60,2025.05.30
broosethemoose,jatapia,1231,1320,1-0,120+15,B20,65,2025.05.30
KINGJarthur,LuigiBot,1643,1682,1-0,900+0,A00,43,2025.05.30
ErrareHumanumEst,IjonTichy,1778,1600,1-0,60+0,C42,75,2025.05.30
LuigiBot,KINGJarthur,1675,1650,1-0,900+0,C00,91,2025.05.30
DELAVINANDIOR,Patatin,1545,1279,1-0,300+5,B01,3,2025.05.30
IjonTichy,ErrareHumanumEst,1588,1790,1-0,60+0,C65,61,2025.05.30
elrukapillan,GussieFinkNottle,1445,1579,0-1,180+0,D02,34,2025.05.30
Qidel,Zoomy,1513,1562,1-0,180+0,C25,73,2025.05.30
GeorgeCool,ervenperlasangler,1667,1650,0-1,180+0,B30,84,2025.05.30
ChequeMade,Oak,1650,1586,1-0,180+0,C23,67,2025.05.30
konozrout,rugs,2052,1717,1-0,300+0,A40,59,2025.05.30
ErrareHumanumEst,IjonTichy,1786,1592,1-0,60+0,C22,51,2025.05.30
GussieFinkNottle,morlok,1574,1424,1-0,180+0,B20,49,2025.05.30
jungdo,ShallowPurple,1603,1858,0-1,900+0,D02,70,2025.05.30
venazvz,CeruleanJS,1765,1954,0-1,300+0,B12,74,2025.05.30
IjonTichy,ErrareHumanumEst,1596,1782,0-1,60+0,C65,56,2025.05.30
tacneno,DELAVINANDIOR,1291,1542,0-1,300+5,C34,50,2025.05.30
MCCapitan,ImgonnaMateYou,1580,1589,0-1,180+0,D20,74,2025.05.30
KINGJarthur,LuigiBot,1649,1676,1/2-1/2,900+0,A00,112,2025.05.30
Oak,ChequeMade,1593,1643,0-1,180+0,C31,118,2025.05.30
ErrareHumanumEst,IjonTichy,1794,1584,0-1,60+0,B13,112,2025.05.30
Zoomy,Qidel,1572,1503,0-1,180+0,C42,66,2025.05.30
ChokitoRJ,igor,1608,1612,1-0,300+0,D00,129,2025.05.30
ervenperlasangler,GeorgeCool,1658,1659,0-1,180+0,C44,72,2025.05.30
IjonTichy,ErrareHumanumEst,1588,1790,0-1,60+0,D34,66,2025.05.30
Trasimene,dominospizza,1754,1696,0-1,180+0,A40,94,2025.05.30
ErrareHumanumEst,IjonTichy,1786,1592,1-0,60+0,B12,67,2025.05.30
LuigiBot,KINGJarthur,1668,1657,1-0,900+0,C00,99,2025.05.30
hejkal,amiriyan,1449,1432,1-0,120+12,D02,39,2025.05.30
